rank,rule,params,val_min_pr,val_fall_p,val_nfall_p,val_fall_r,val_nfall_r,val_fp,val_fn,test_min_pr,test_fall_p,test_nfall_p,test_fall_r,test_nfall_r,test_fp,test_fn
502,consecutive_count,"{""min_consecutive"": 3, ""min_count"": 11, ""threshold"": 0.375}",0.8577154308617234,0.9603658536585366,0.8577154308617234,0.946656649135988,0.8916666666666667,52,71,0.8653061224489796,0.9513274336283186,0.9098712446351931,0.9684684684684685,0.8653061224489796,33,21
503,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 11, ""threshold"": 0.375}",0.8577154308617234,0.9603658536585366,0.8577154308617234,0.946656649135988,0.8916666666666667,52,71,0.8653061224489796,0.9513274336283186,0.9098712446351931,0.9684684684684685,0.8653061224489796,33,21
504,consecutive_count,"{""min_consecutive"": 5, ""min_count"": 11, ""threshold"": 0.375}",0.8577154308617234,0.9603658536585366,0.8577154308617234,0.946656649135988,0.8916666666666667,52,71,0.8653061224489796,0.9513274336283186,0.9098712446351931,0.9684684684684685,0.8653061224489796,33,21
505,consecutive_count,"{""min_consecutive"": 6, ""min_count"": 11, ""threshold"": 0.375}",0.8577154308617234,0.9603658536585366,0.8577154308617234,0.946656649135988,0.8916666666666667,52,71,0.8734693877551021,0.9541420118343196,0.9106382978723404,0.9684684684684685,0.8734693877551021,31,21
506,topk_mean,"{""threshold"": 0.525, ""top_k"": 9}",0.8574257425742574,0.9640122511485452,0.8574257425742574,0.9459053343350864,0.9020833333333333,47,72,0.8937007874015748,0.9726027397260274,0.8937007874015748,0.9594594594594594,0.926530612244898,18,27
507,hysteresis,"{""high"": 0.55, ""low"": 0.4, ""min_consecutive"": 7}",0.856858846918489,0.9625382262996942,0.856858846918489,0.9459053343350864,0.8979166666666667,49,72,0.9036144578313253,0.9697885196374623,0.9036144578313253,0.963963963963964,0.9183673469387755,20,24
508,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 10, ""threshold"": 0.375}",0.8568548387096774,0.9581749049429658,0.8568548387096774,0.946656649135988,0.8854166666666666,55,71,0.8693877551020408,0.9530102790014684,0.9260869565217391,0.9744744744744744,0.8693877551020408,32,17
509,topk_mean,"{""threshold"": 0.55, ""top_k"": 7}",0.8562992125984252,0.965464313123561,0.8562992125984252,0.9451540195341849,0.90625,45,73,0.88671875,0.9725190839694656,0.88671875,0.9564564564564565,0.926530612244898,18,29
510,consecutive_count,"{""min_consecutive"": 1, ""min_count"": 12, ""threshold"": 0.35}",0.8562753036437247,0.9567198177676538,0.8562753036437247,0.946656649135988,0.88125,57,71,0.8571428571428571,0.9486049926578561,0.9130434782608695,0.96996996996997,0.8571428571428571,35,20
511,consecutive_count,"{""min_consecutive"": 2, ""min_count"": 12, ""threshold"": 0.35}",0.8562753036437247,0.9567198177676538,0.8562753036437247,0.946656649135988,0.88125,57,71,0.8571428571428571,0.9486049926578561,0.9130434782608695,0.96996996996997,0.8571428571428571,35,20
512,consecutive_count,"{""min_consecutive"": 3, ""min_count"": 12, ""threshold"": 0.35}",0.8562753036437247,0.9567198177676538,0.8562753036437247,0.946656649135988,0.88125,57,71,0.8571428571428571,0.9486049926578561,0.9130434782608695,0.96996996996997,0.8571428571428571,35,20
513,consecutive_count,"{""min_consecutive"": 4, ""min_count"": 12, ""threshold"": 0.35}",0.8562753036437247,0.9567198177676538,0.8562753036437247,0.946656649135988,0.88125,57,71,0.8571428571428571,0.9486049926578561,0.9130434782608695,0.96996996996997,0.8571428571428571,35,20
514,consecutive_count,"{""min_consecutive"": 5, ""min_count"": 12, ""threshold"": 0.35}",0.8562753036437247,0.9567198177676538,0.8562753036437247,0.946656649135988,0.88125,57,71,0.8571428571428571,0.9486049926578561,0.9130434782608695,0.96996996996997,0.8571428571428571,35,20
515,consecutive_count,"{""min_consecutive"": 6, ""min_count"": 12, ""threshold"": 0.35}",0.8562753036437247,0.9567198177676538,0.8562753036437247,0.946656649135988,0.88125,57,71,0.8612244897959184,0.95,0.9134199134199135,0.96996996996997,0.8612244897959184,34,20
516,hysteresis,"{""high"": 0.5, ""low"": 0.35, ""min_consecutive"": 5}",0.85625,0.9494505494505494,0.92152466367713,0.9737039819684448,0.85625,69,35,0.8653061224489796,0.9520348837209303,0.9506726457399103,0.9834834834834835,0.8653061224489796,33,11
517,consecutive_count,"{""min_consecutive"": 5, ""min_count"": 6, ""threshold"": 0.4}",0.85625,0.9493019838354151,0.9133333333333333,0.9706987227648385,0.85625,69,39,0.8530612244897959,0.9479768786127167,0.954337899543379,0.984984984984985,0.8530612244897959,36,10
518,consecutive_ratio,"{""min_consecutive"": 5, ""min_ratio"": 0.13, ""threshold"": 0.4}",0.85625,0.9493019838354151,0.9133333333333333,0.9706987227648385,0.85625,69,39,0.8530612244897959,0.9479768786127167,0.954337899543379,0.984984984984985,0.8530612244897959,36,10
519,hysteresis,"{""high"": 0.475, ""low"": 0.375, ""min_consecutive"": 6}",0.85625,0.9490774907749078,0.9013157894736842,0.966190833959429,0.85625,69,45,0.8612244897959184,0.950509461426492,0.9419642857142857,0.9804804804804805,0.8612244897959184,34,13
520,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 9, ""threshold"": 0.35}",0.85625,0.9489267209474463,0.8934782608695652,0.9631855747558227,0.85625,69,49,0.8367346938775511,0.9421965317919075,0.9360730593607306,0.978978978978979,0.8367346938775511,40,14
521,consecutive_ratio,"{""min_consecutive"": 7, ""min_ratio"": 0.2, ""threshold"": 0.35}",0.85625,0.9489267209474463,0.8934782608695652,0.9631855747558227,0.85625,69,49,0.8367346938775511,0.9421965317919075,0.9360730593607306,0.978978978978979,0.8367346938775511,40,14
